Pattern String,Frequency,Sequence Support,Average Pattern Frequency,Proportional Pattern Frequency
ACBA,30,0.8,2,8.72E-04
AAAHH,69,0.8,4.6,0.002005464
BCAAA,20,0.8,1.333333333,5.81E-04
AAABA,48,0.8,3.2,0.001395106
AAADA,52,0.8,3.466666667,0.001511364
AADDD,90,0.8,6,0.002615823
BBBBB,340,0.8,22.66666667,0.009881997
BBBCC,73,0.8,4.866666667,0.002121723
BBBAA,91,0.8,6.066666667,0.002644888
AAEAA,49,0.8,3.266666667,0.00142417
BBADD,28,0.8,1.866666667,8.14E-04
CDAAA,28,0.8,1.866666667,8.14E-04
CDDDD,62,0.8,4.133333333,0.001802011
BAAAC,22,0.8,1.466666667,6.39E-04
AAHHH,79,0.8,5.266666667,0.002296111
DDAAA,99,0.8,6.6,0.002877405
DDADC,19,0.8,1.266666667,5.52E-04
DDADD,71,0.8,4.733333333,0.002063594
DDDAD,52,0.8,3.466666667,0.001511364
DDDAA,96,0.8,6.4,0.002790211
FAAAA,61,0.8,4.066666667,0.001772947
ABBAA,49,0.8,3.266666667,0.00142417
ABBBA,61,0.8,4.066666667,0.001772947
BBAAAA,54,0.8,3.6,0.001570178
EAAAAA,48,0.8,3.2,0.001395714
AEAAAA,34,0.8,2.266666667,9.89E-04
AAAAAAA,312,0.8,20.8,0.0090761
DFF,50,0.733333333,3.333333333,0.001451969
BCB,80,0.733333333,5.333333333,0.00232315
AAG,56,0.733333333,3.733333333,0.001626205
BDC,42,0.733333333,2.8,0.001219654
BEE,55,0.733333333,3.666666667,0.001597166
ADE,52,0.733333333,3.466666667,0.001510048
AFB,42,0.733333333,2.8,0.001219654
AGA,41,0.733333333,2.733333333,0.001190614
AHC,24,0.733333333,1.6,6.97E-04
HAC,50,0.733333333,3.333333333,0.001451969
HCA,42,0.733333333,2.8,0.001219654
FCD,38,0.733333333,2.533333333,0.001103496
FCE,30,0.733333333,2,8.71E-04
FDA,47,0.733333333,3.133333333,0.001364851
HHC,130,0.733333333,8.666666667,0.003775119
HHE,46,0.733333333,3.066666667,0.001335811
HHF,43,0.733333333,2.866666667,0.001248693
ECB,45,0.733333333,3,0.001306772
FFC,115,0.733333333,7.666666667,0.003339528
EEC,119,0.733333333,7.933333333,0.003455686
EEB,78,0.733333333,5.2,0.002265071
EFF,72,0.733333333,4.8,0.002090835
CBD,42,0.733333333,2.8,0.001219654
CBF,25,0.733333333,1.666666667,7.26E-04
DDF,82,0.733333333,5.466666667,0.002381229
FHH,48,0.733333333,3.2,0.00139389
DED,41,0.733333333,2.733333333,0.001190614
ACCB,32,0.733333333,2.133333333,9.30E-04
BBAE,47,0.733333333,3.133333333,0.001365446
BBDA,45,0.733333333,3,0.001307341
DDAC,58,0.733333333,3.866666667,0.001685018
DDAB,62,0.733333333,4.133333333,0.001801226
DDDB,79,0.733333333,5.266666667,0.002295111
DDCD,41,0.733333333,2.733333333,0.001191133
HHAC,32,0.733333333,2.133333333,9.30E-04
ECAA,22,0.733333333,1.466666667,6.39E-04
ECCA,50,0.733333333,3.333333333,0.001452602
CACF,16,0.733333333,1.066666667,4.65E-04
HHHC,88,0.733333333,5.866666667,0.002556579
HHHB,33,0.733333333,2.2,9.59E-04
FBBB,44,0.733333333,2.933333333,0.001278289
ADAC,34,0.733333333,2.266666667,9.88E-04
ADDE,19,0.733333333,1.266666667,5.52E-04
CFCA,15,0.733333333,1,4.36E-04
BCCD,44,0.733333333,2.933333333,0.001278289
DEEA,23,0.733333333,1.533333333,6.68E-04
CBBD,30,0.733333333,2,8.72E-04
DABB,53,0.733333333,3.533333333,0.001539758
DACA,36,0.733333333,2.4,0.001045873
FCBB,41,0.733333333,2.733333333,0.001191133
DAEC,17,0.733333333,1.133333333,4.94E-04
DAHH,32,0.733333333,2.133333333,9.30E-04
AEAD,34,0.733333333,2.266666667,9.88E-04
AECA,30,0.733333333,2,8.72E-04
BDAA,28,0.733333333,1.866666667,8.13E-04
BDDA,48,0.733333333,3.2,0.001394498
BDDD,96,0.733333333,6.4,0.002788995
CCAD,38,0.733333333,2.533333333,0.001103977
CCDC,46,0.733333333,3.066666667,0.001336393
CCCF,45,0.733333333,3,0.001307341
EEAA,70,0.733333333,4.666666667,0.002033642
FHHH,33,0.733333333,2.2,9.59E-04
EACC,38,0.733333333,2.533333333,0.001103977
EAEA,44,0.733333333,2.933333333,0.001278289
AFAA,71,0.733333333,4.733333333,0.002062694
ABAB,65,0.733333333,4.333333333,0.001888382
CHHH,54,0.733333333,3.6,0.00156881
BAAD,37,0.733333333,2.466666667,0.001074925
BACC,36,0.733333333,2.4,0.001045873
BACA,33,0.733333333,2.2,9.59E-04
DCAD,24,0.733333333,1.6,6.97E-04
BACD,20,0.733333333,1.333333333,5.81E-04
DCCB,28,0.733333333,1.866666667,8.13E-04
